time,Lvel,Rvel,Lcur,Rcur
5.6,0.5581522607987797,0.5570041930700198,4.01,4.4
5.666666666666667,0.5519545128556012,0.5527119118440822,4.93,4.01
5.733333333333333,0.5839597553746205,0.5829649346669977,2.3,2.69
5.8,0.2965484421371091,0.29674226464830983,2.17,2.69
5.866666666666666,0.5626365846361456,0.5620585333505606,1.38,1.91
5.933333333333334,0.5883351353375337,0.5877310951575156,2.43,2.69
6.0,0.5404018094288342,0.5404018094288342,4.93,5.32
6.066666666666666,0.30591677150853414,0.30471474097215484,2.57,4.01
6.133333333333333,0.5361034799600163,0.5366529539743244,3.09,3.35
6.2,0.6121345224785075,0.6098930179021882,2.3,3.35
6.266666666666667,0.5721420599208462,0.574073667145427,2.17,2.83
6.333333333333333,0.2900133275579833,0.2894394225562195,4.27,4.4
